junctions;crossroads;deadends
0.2186;0.0365;0.2918
0.2204;0.0363;0.2932
0.2188;0.0361;0.2912
0.222;0.0354;0.293
0.2197;0.0354;0.2907
0.226;0.0336;0.2934
0.2237;0.034;0.2919
0.2215;0.0356;0.2929
0.2205;0.0359;0.2925
0.2189;0.0358;0.2907
0.2244;0.0352;0.295
0.2197;0.0356;0.2911
0.2189;0.0376;0.2943
0.2207;0.0356;0.2921
0.2217;0.0346;0.2911
0.2157;0.0369;0.2897
0.2291;0.0338;0.2969
0.2241;0.0345;0.2933
0.2254;0.0332;0.292
0.2185;0.0352;0.2891
0.2189;0.0373;0.2937
0.2227;0.0349;0.2927
0.2283;0.0312;0.2909
0.2217;0.0386;0.2991
0.2233;0.0337;0.2909
0.2259;0.0355;0.2971
0.2246;0.0372;0.2992
0.2302;0.0314;0.2932
0.2223;0.0356;0.2937
0.2228;0.0347;0.2924
0.2268;0.0326;0.2922
0.2251;0.0347;0.2947
0.2223;0.035;0.2925
0.2255;0.0345;0.2947
0.218;0.0378;0.2938
0.2212;0.0363;0.294
0.2254;0.0327;0.291
0.2248;0.0341;0.2932
0.2223;0.0356;0.2937
0.2192;0.0363;0.292
0.222;0.0348;0.2918
0.2163;0.0389;0.2943
0.2242;0.0333;0.291
0.2218;0.0341;0.2902
0.2242;0.0344;0.2932
0.2175;0.0365;0.2907
0.2257;0.0339;0.2937
0.2233;0.0338;0.2911
0.2239;0.0357;0.2955
0.2225;0.036;0.2947
0.2269;0.034;0.2951
0.2259;0.0348;0.2957
0.2146;0.0383;0.2914
0.2253;0.034;0.2935
0.2232;0.037;0.2974
0.2231;0.0338;0.2909
0.2215;0.0353;0.2923
0.2224;0.0363;0.2952
0.2221;0.0382;0.2987
0.2213;0.0343;0.2901
0.2239;0.0337;0.2915
0.2197;0.0356;0.2911
0.2156;0.0378;0.2914
0.2207;0.0374;0.2957
0.2225;0.0363;0.2953
0.2219;0.0356;0.2933
0.2209;0.034;0.2891
0.2232;0.0364;0.2962
0.2252;0.0341;0.2936
0.2171;0.0403;0.2979
0.2238;0.0349;0.2938
0.2195;0.0363;0.2923
0.2246;0.0325;0.2898
0.2245;0.034;0.2927
0.2254;0.0345;0.2946
0.2215;0.036;0.2937
0.2282;0.0336;0.2956
0.2175;0.0381;0.2939
0.2224;0.0369;0.2964
0.2248;0.0336;0.2922
0.2223;0.0362;0.2949
0.22;0.0351;0.2904
0.2263;0.0333;0.2931
0.2207;0.037;0.2949
0.2234;0.0341;0.2918
0.2208;0.0391;0.2992
0.2205;0.039;0.2987
0.2223;0.0357;0.2939
0.2176;0.0356;0.289
0.2193;0.0381;0.2957
0.2189;0.0365;0.2921
0.2211;0.0367;0.2947
0.2277;0.0351;0.2981
0.2251;0.0353;0.2959
0.2235;0.034;0.2917
0.2231;0.0342;0.2917
0.2196;0.0351;0.29
0.2286;0.0332;0.2952
0.2242;0.0352;0.2948
0.2247;0.0347;0.2943

A*Caminho;A*visitados;BFSCaminho;BFSVisitados;GBFCaminho;GBFVisitados
442;0.9243;442;0.9282;442;0.9243
464;0.9291;464;0.9303;464;0.9291
382;0.6775;382;0.6829;382;0.6775
420;0.6584;420;0.661;420;0.6584
470;0.8021;470;0.8075;470;0.8021
418;0.9994;418;0.9996;418;0.9994
410;0.9193;410;0.9215;410;0.9193
420;0.9228;420;0.925;420;0.9228
590;0.709;590;0.7112;590;0.709
536;0.6766;536;0.6789;536;0.6766
466;0.9764;466;0.9786;466;0.9764
336;0.8204;336;0.8247;336;0.8204
346;0.7879;346;0.791;346;0.7879
384;0.9248;384;0.9285;384;0.9248
538;0.9713;538;0.9736;538;0.9713
524;0.9035;524;0.9046;524;0.9035
386;0.5305;386;0.532;386;0.5305
398;0.6964;398;0.6994;398;0.6964
540;0.7596;540;0.7611;540;0.7596
354;0.7781;354;0.7795;354;0.7781
516;0.9606;516;0.9611;516;0.9606
492;0.9258;492;0.928;492;0.9258
292;0.8708;292;0.8745;292;0.8708
450;0.8846;450;0.8865;450;0.8846
406;0.446;406;0.449;406;0.446
400;0.6038;400;0.6071;400;0.6038
576;0.7981;576;0.801;576;0.7981
566;0.9976;566;0.9982;566;0.9976
434;0.9311;434;0.932;434;0.9311
454;0.7843;454;0.7878;454;0.7843
336;0.795;336;0.7984;336;0.795
356;0.8342;356;0.8365;356;0.8342
380;0.8212;380;0.8245;380;0.8212
538;0.8636;538;0.8675;538;0.8636
420;0.7916;420;0.7931;420;0.7916
420;0.9102;420;0.9124;420;0.9102
418;0.6895;418;0.693;418;0.6895
504;0.993;504;0.9938;504;0.993
686;0.9319;686;0.9337;686;0.9319
456;0.6698;456;0.6728;456;0.6698
462;0.9104;462;0.9119;462;0.9104
380;0.6181;380;0.6206;380;0.6181
454;0.6393;454;0.6404;454;0.6393
380;0.8513;380;0.8537;380;0.8513
304;0.7022;304;0.7059;304;0.7022
372;0.7635;372;0.7697;372;0.7635
412;0.851;412;0.8536;412;0.851
424;0.8685;424;0.8717;424;0.8685
380;0.5718;380;0.5735;380;0.5718
376;0.8288;376;0.8329;376;0.8288
462;0.8289;462;0.8313;462;0.8289
394;0.9845;394;0.9859;394;0.9845
480;0.8813;480;0.8826;480;0.8813
398;0.6458;398;0.6474;398;0.6458
392;0.9024;392;0.9037;392;0.9024
510;0.7566;510;0.7584;510;0.7566
634;0.9608;634;0.9623;634;0.9608
418;0.8523;418;0.8542;418;0.8523
342;0.6694;342;0.6725;342;0.6694
394;0.7865;394;0.7899;394;0.7865
360;0.8072;360;0.8108;360;0.8072
458;0.6719;458;0.6744;458;0.6719
432;0.9674;432;0.9679;432;0.9674
466;0.6041;466;0.6059;466;0.6041
470;0.9468;470;0.9485;470;0.9468
380;0.9634;380;0.9657;380;0.9634
470;0.9958;470;0.9967;470;0.9958
516;0.9722;516;0.9748;516;0.9722
458;0.5699;458;0.5715;458;0.5699
366;0.6924;366;0.6945;366;0.6924
358;0.8066;358;0.8085;358;0.8066
388;0.8685;388;0.8742;388;0.8685
364;0.7999;364;0.8024;364;0.7999
312;0.5758;312;0.5785;312;0.5758
476;0.9207;476;0.9232;476;0.9207
538;0.9999;538;1;538;0.9999
448;0.934;448;0.9352;448;0.934
508;0.854;508;0.8563;508;0.854
492;0.6474;492;0.6498;492;0.6474
378;0.8998;378;0.9025;378;0.8998
346;0.8298;346;0.832;346;0.8298
588;0.8212;588;0.8225;588;0.8212
410;0.726;410;0.7275;410;0.726
434;0.992;434;0.9924;434;0.992
440;0.7785;440;0.7815;440;0.7785
388;0.3908;388;0.3917;388;0.3908
344;0.7869;344;0.7896;344;0.7869
794;0.8452;794;0.8459;794;0.8452
442;0.9477;442;0.9512;442;0.9477
496;0.9096;496;0.9113;496;0.9096
442;0.9916;442;0.9923;442;0.9916
348;0.7635;348;0.7665;348;0.7635
362;0.7027;362;0.707;362;0.7027
440;0.6789;440;0.6828;440;0.6789
476;0.8632;476;0.865;476;0.8632
566;0.9887;566;0.9904;566;0.9887
322;0.6834;322;0.6882;322;0.6834
398;0.824;398;0.8274;398;0.824
446;0.6528;446;0.657;446;0.6528
350;0.622;350;0.6273;350;0.622
